cl_sig,pq_sig,cl,pq,delay,loss,mtu,idx,connections,user_sec,real_sec
p256,snova2454shake,p256,hqc128,5,0,576,0,108.0,,11.0
p256,snova2454shake,p256,hqc128,5,1,1500,0,116.0,,11.0
p256,snova2454shake,p256,mlkem512,5,0,1280,0,338.0,,11.0
p256,snova2454shake,p256,mlkem512,5,0,1500,0,332.0,,11.0
p256,snova2454shake,p256,mlkem512,5,0,576,0,342.0,,11.0
p256,snova2454shake,x25519,bikel1,5,0,1280,0,349.0,,11.0
p256,snova2454shake,x25519,bikel1,5,0,1500,0,341.0,,11.0
p256,snova2454shake,x25519,bikel1,5,0,576,0,351.0,,11.0
p256,snova2454shake,x25519,bikel1,5,1,1280,0,,,
p256,snova2454shake,x25519,bikel1,5,1,1500,0,196.0,,11.0
p256,snova2454shake,x25519,frodo640shake,5,0,1280,0,246.0,,11.0
p256,snova2454shake,x25519,frodo640shake,5,0,1500,0,275.0,,11.0
p256,snova2454shake,x25519,frodo640shake,5,0,576,0,194.0,,11.0
p256,snova2454shake,x25519,frodo640shake,5,1,1280,0,162.0,,11.0
p256,snova2454shake,x25519,frodo640shake,5,1,1500,0,159.0,,11.0
p256,snova2454shake,x25519,frodo640shake,5,1,576,0,158.0,,11.0
p256,snova2454shake,x25519,hqc128,5,0,1280,0,102.0,,11.0
p256,snova2454shake,x25519,hqc128,5,0,1500,0,91.0,,11.0
p256,snova2454shake,x25519,hqc128,5,0,576,0,108.0,,11.0
p256,snova2454shake,x25519,hqc128,5,1,1280,0,90.0,,11.0
p256,snova2454shake,x25519,hqc128,5,1,1500,0,112.0,,11.0
p256,snova2454shake,x25519,hqc128,5,1,576,0,126.0,,11.0
p256,snova2454shake,x25519,mlkem512,5,0,1280,0,370.0,,11.0
p256,snova2454shake,x25519,mlkem512,5,0,1500,0,362.0,,11.0
p256,snova2454shake,x25519,mlkem512,5,0,576,0,385.0,,11.0
p256,snova2454shake,x25519,mlkem512,5,1,1500,0,,,
p256,snova2454shake,x448,bikel1,5,0,1280,0,325.0,,11.0
p256,snova2454shake,x448,bikel1,5,0,1500,0,323.0,,11.0
p256,snova2454shake,x448,bikel1,5,0,576,0,337.0,,11.0
p256,snova2454shake,x448,bikel1,5,1,1500,0,201.0,,11.0
p256,snova2454shake,x448,frodo640shake,5,0,1280,0,261.0,,11.0
p256,snova2454shake,x448,frodo640shake,5,0,1500,0,303.0,,11.0
p256,snova2454shake,x448,frodo640shake,5,0,576,0,199.0,,11.0
p256,snova2454shake,x448,hqc128,5,0,1280,0,100.0,,11.0
p256,snova2454shake,x448,hqc128,5,0,1500,0,90.0,,11.0
p256,snova2454shake,x448,hqc128,5,0,576,0,107.0,,11.0
p256,snova2454shake,x448,hqc128,5,1,1280,0,129.0,,11.0
p256,snova2454shake,x448,hqc128,5,1,1500,0,119.0,,11.0
p256,snova2454shake,x448,hqc128,5,1,576,0,118.0,,11.0
p256,snova2454shake,x448,mlkem512,5,0,1280,0,350.0,,11.0
p256,snova2454shake,x448,mlkem512,5,0,1500,0,345.0,,11.0
p256,snova2454shake,x448,mlkem512,5,0,576,0,354.0,,11.0
p256,sphincsshake128fsimple,p256,bikel1,5,0,1280,0,152.0,,11.0
p256,sphincsshake128fsimple,p256,bikel1,5,0,1500,0,151.0,,11.0
p256,sphincsshake128fsimple,p256,bikel1,5,0,576,0,155.0,,11.0
p256,sphincsshake128fsimple,p256,bikel1,5,1,1280,0,158.0,,11.0
p256,sphincsshake128fsimple,p256,bikel1,5,1,1500,0,,,
p256,sphincsshake128fsimple,p256,bikel1,5,1,576,0,135.0,,11.0
p256,sphincsshake128fsimple,p256,frodo640shake,5,0,1280,0,137.0,,11.0
p256,sphincsshake128fsimple,p256,frodo640shake,5,0,1500,0,135.0,,11.0
p256,sphincsshake128fsimple,p256,frodo640shake,5,0,576,0,129.0,,11.0
p256,sphincsshake128fsimple,p256,frodo640shake,5,1,1280,0,135.0,,11.0
p256,sphincsshake128fsimple,p256,frodo640shake,5,1,1500,0,113.0,,11.0
p256,sphincsshake128fsimple,p256,frodo640shake,5,1,576,0,109.0,,11.0
p256,sphincsshake128fsimple,p256,hqc128,5,0,1280,0,74.0,,11.0
p256,sphincsshake128fsimple,p256,hqc128,5,0,1500,0,72.0,,11.0
p256,sphincsshake128fsimple,p256,hqc128,5,0,576,0,74.0,,11.0
p256,sphincsshake128fsimple,p256,hqc128,5,1,1280,0,71.0,,11.0
p256,sphincsshake128fsimple,p256,hqc128,5,1,1500,0,70.0,,11.0
p256,sphincsshake128fsimple,p256,hqc128,5,1,576,0,90.0,,11.0
p256,sphincsshake128fsimple,p256,mlkem512,5,0,1280,0,154.0,,11.0
p256,sphincsshake128fsimple,p256,mlkem512,5,0,1500,0,152.0,,11.0
p256,sphincsshake128fsimple,p256,mlkem512,5,0,576,0,163.0,,11.0
p256,sphincsshake128fsimple,p256,mlkem512,5,1,1280,0,103.0,,11.0
p256,sphincsshake128fsimple,p256,mlkem512,5,1,1500,0,112.0,,11.0
p256,sphincsshake128fsimple,p256,mlkem512,5,1,576,0,175.0,,11.0
p256,sphincsshake128fsimple,x25519,bikel1,5,0,1280,0,155.0,,11.0
p256,sphincsshake128fsimple,x25519,bikel1,5,0,1500,0,152.0,,11.0
p256,sphincsshake128fsimple,x25519,bikel1,5,0,576,0,158.0,,11.0
p256,sphincsshake128fsimple,x25519,bikel1,5,1,1280,0,149.0,,11.0
p256,sphincsshake128fsimple,x25519,bikel1,5,1,576,0,150.0,,11.0
p256,sphincsshake128fsimple,x25519,frodo640shake,5,0,1280,0,150.0,,11.0
p256,sphincsshake128fsimple,x25519,frodo640shake,5,0,1500,0,150.0,,11.0
p256,sphincsshake128fsimple,x25519,frodo640shake,5,0,576,0,132.0,,11.0
p256,sphincsshake128fsimple,x25519,frodo640shake,5,1,1280,0,122.0,,12.0
p256,sphincsshake128fsimple,x25519,frodo640shake,5,1,1500,0,123.0,,11.0
p256,sphincsshake128fsimple,x25519,frodo640shake,5,1,576,0,92.0,,11.0
p256,sphincsshake128fsimple,x25519,hqc128,5,0,1280,0,79.0,,11.0
p256,sphincsshake128fsimple,x25519,hqc128,5,0,1500,0,77.0,,11.0
p256,sphincsshake128fsimple,x25519,hqc128,5,0,576,0,83.0,,11.0
p256,sphincsshake128fsimple,x25519,hqc128,5,1,1280,0,78.0,,11.0
p256,sphincsshake128fsimple,x25519,hqc128,5,1,1500,0,92.0,,11.0
p256,sphincsshake128fsimple,x25519,hqc128,5,1,576,0,97.0,,11.0
p256,sphincsshake128fsimple,x25519,hqc128,5,5,1280,0,,,
p256,sphincsshake128fsimple,x25519,hqc128,5,5,1500,0,49.0,,11.0
p256,sphincsshake128fsimple,x25519,mlkem512,5,0,1280,0,161.0,,11.0
p256,sphincsshake128fsimple,x25519,mlkem512,5,0,1500,0,164.0,,11.0
p256,sphincsshake128fsimple,x25519,mlkem512,5,0,576,0,171.0,,11.0
p256,sphincsshake128fsimple,x25519,mlkem512,5,1,1280,0,169.0,,11.0
p256,sphincsshake128fsimple,x25519,mlkem512,5,1,576,0,189.0,,11.0
p256,sphincsshake128fsimple,x448,bikel1,5,0,1280,0,150.0,,11.0
p256,sphincsshake128fsimple,x448,bikel1,5,0,1500,0,150.0,,11.0
p256,sphincsshake128fsimple,x448,bikel1,5,0,576,0,159.0,,11.0
p256,sphincsshake128fsimple,x448,bikel1,5,1,1280,0,132.0,,11.0
p256,sphincsshake128fsimple,x448,bikel1,5,1,1500,0,123.0,,11.0
p256,sphincsshake128fsimple,x448,bikel1,5,1,576,0,115.0,,12.0
p256,sphincsshake128fsimple,x448,frodo640shake,5,0,1280,0,140.0,,11.0
p256,sphincsshake128fsimple,x448,frodo640shake,5,0,1500,0,138.0,,11.0
p256,sphincsshake128fsimple,x448,frodo640shake,5,0,576,0,133.0,,11.0
p256,sphincsshake128fsimple,x448,frodo640shake,5,1,1280,0,141.0,,11.0
p256,sphincsshake128fsimple,x448,frodo640shake,5,1,1500,0,106.0,,11.0
p256,sphincsshake128fsimple,x448,frodo640shake,5,1,576,0,100.0,,11.0
p256,sphincsshake128fsimple,x448,frodo640shake,5,5,1500,0,,,
p256,sphincsshake128fsimple,x448,hqc128,5,0,1280,0,74.0,,11.0
p256,sphincsshake128fsimple,x448,hqc128,5,0,1500,0,73.0,,11.0
p256,sphincsshake128fsimple,x448,hqc128,5,0,576,0,75.0,,11.0
p256,sphincsshake128fsimple,x448,hqc128,5,1,1280,0,83.0,,11.0
p256,sphincsshake128fsimple,x448,hqc128,5,1,1500,0,64.0,,11.0
p256,sphincsshake128fsimple,x448,hqc128,5,1,576,0,78.0,,11.0
